id,name,type1,type2
1,Bulbasaur,Grass,Poison
2,Ivysaur,Grass,Poison
3,Venusaur,Grass,Poison
4,Charmander,Fire,null
5,Charmeleon,Fire,null
6,Charizard,Fire,Flying
7,Squirtle,Water,null
8,Wartortle,Water,null
9,Blastoise,Water,null
10,Caterpie,Bug,null
11,Metapod,Bug,null
12,Butterfree,Bug,Flying
13,Weedle,Bug,Poison
14,Kakuna,Bug,Poison
15,Beedrill,Bug,Poison
16,Pidgey,Normal,Flying
17,Pidgeotto,Normal,Flying
18,Pidgeot,Normal,Flying
19,Rattata,Normal,null
20,Raticate,Normal,null
21,Spearow,Normal,Flying
22,Fearow,Normal,Flying
23,Ekans,Poison,null
24,Arbok,Poison,null
25,Pikachu,Electric,null
26,Raichu,Electric,null
27,Sandshrew,Ground,null
28,Sandslash,Ground,null
29,Nidoran (Female),Poison,null
30,Nidorina,Poison,null
31,Nidoqueen,Poison,Ground
32,Nidoran (Male),Poison,null
33,Nidorino,Poison,null
34,Nidoking,Poison,Ground
35,Clefairy,Fairy,null
36,Clefable,Fairy,null
37,Vulpix,Fire,null
38,Ninetales,Fire,null
39,Jigglypuff,Normal,Fairy
40,Wigglytuff,Normal,Fairy
41,Zubat,Poison,Flying
42,Golbat,Poison,Flying
43,Oddish,Grass,Poison
44,Gloom,Grass,Poison
45,Vileplume,Grass,Poison
46,Paras,Bug,Grass
47,Parasect,Bug,Grass
48,Venonat,Bug,Poison
49,Venomoth,Bug,Poison
50,Diglett,Ground,null
51,Dugtrio,Ground,null
52,Meowth,Normal,null
53,Persian,Normal,null
54,Psyduck,Water,null
55,Golduck,Water,null
56,Mankey,Fighting,null
57,Primeape,Fighting,null
58,Growlithe,Fire,null
59,Arcanine,Fire,null
60,Poliwag,Water,null
61,Poliwhirl,Water,null
62,Poliwrath,Water,Fighting
63,Abra,Psychic,null
64,Kadabra,Psychic,null
65,Alakazam,Psychic,null
66,Machop,Fighting,null
67,Machoke,Fighting,null
68,Machamp,Fighting,null
69,Bellsprout,Grass,Poison
70,Weepinbell,Grass,Poison
71,Victreebel,Grass,Poison
72,Tentacool,Water,Poison
73,Tentacruel,Water,Poison
74,Geodude,Rock,Ground
75,Graveler,Rock,Ground
76,Golem,Rock,Ground
77,Ponyta,Fire,null
78,Rapidash,Fire,null
79,Slowpoke,Water,Psychic
80,Slowbro,Water,Psychic
81,Magnemite,Electric,Steel
82,Magneton,Electric,Steel
83,Farfetch'd,Normal,Flying
84,Doduo,Normal,Flying
85,Dodrio,Normal,Flying
86,Seel,Water,null
87,Dewgong,Water,Ice
88,Grimer,Poison,null
89,Muk,Poison,null
90,Shellder,Water,null
91,Cloyster,Water,Ice
92,Gastly,Ghost,Poison
93,Haunter,Ghost,Poison
94,Gengar,Ghost,Poison
95,Onix,Rock,Ground
96,Drowzee,Psychic,null
97,Hypno,Psychic,null
98,Krabby,Water,null
99,Kingler,Water,null
100,Voltorb,Electric,null
101,Electrode,Electric,null
102,Exeggcute,Grass,Psychic
103,Exeggutor,Grass,Psychic
104,Cubone,Ground,null
105,Marowak,Ground,null
106,Hitmonlee,Fighting,null
107,Hitmonchan,Fighting,null
108,Lickitung,Normal,null
109,Koffing,Poison,null
110,Weezing,Poison,null
111,Rhyhorn,Ground,Rock
112,Rhydon,Ground,Rock
113,Chansey,Normal,null
114,Tangela,Grass,null
115,Kangaskhan,Normal,null
116,Horsea,Water,null
117,Seadra,Water,null
118,Goldeen,Water,null
119,Seaking,Water,null
120,Staryu,Water,null
121,Starmie,Water,Psychic
122,Mr. Mime,Psychic,null
123,Scyther,Bug,Flying
124,Jynx,Ice,Psychic
125,Electabuzz,Electric,null
126,Magmar,Fire,null
127,Pinsir,Bug,null
128,Tauros,Normal,null
129,Magikarp,Water,null
130,Gyarados,Water,Flying
131,Lapras,Water,Ice
132,Ditto,Normal,null
133,Eevee,Normal,null
134,Vaporeon,Water,null
135,Jolteon,Electric,null
136,Flareon,Fire,null
137,Porygon,Normal,null
138,Omanyte,Rock,Water
139,Omastar,Rock,Water
140,Kabuto,Rock,Water
141,Kabutops,Rock,Water
142,Aerodactyl,Rock,Flying
143,Snorlax,Normal,null
144,Articuno,Ice,Flying
145,Zapdos,Electric,Flying
146,Moltres,Fire,Flying
147,Dratini,Dragon,null
148,Dragonair,Dragon,null
149,Dragonite,Dragon,Flying
150,Mewtwo,Psychic,null
151,Mew,Psychic,null
